price	cut	color	clarity	depth	table	x	y	z
326	Ideal	E	SI2	61.5	55	3.95	3.98	2.43
326	Premium	E	SI1	59.8	61	3.89	3.84	2.31
327	Good	E	VS1	56.9	65	4.05	4.07	2.31
334	Premium	I	VS2	62.4	58	4.2	4.23	2.63
335	Good	J	SI2	63.3	58	4.34	4.35	2.75
336	Very Good	J	VVS2	62.8	57	3.94	3.96	2.48
336	Very Good	I	VVS1	62.3	57	3.95	3.98	2.47
338	Very Good	H	VS1	59.4	61	4	4.05	2.39
340	Ideal	J	VS1	62.8	56	3.93	3.9	2.46
342	Premium	F	SI1	60.4	61	3.88	3.84	2.33
345	Premium	E	SI2	60.2	62	3.79	3.75	2.27
348	Ideal	I	SI2	62	54	4.31	4.34	2.68
351	Good	J	SI1	63.8	56	4.23	4.26	2.71
351	Very Good	J	SI1	62.7	59	4.21	4.27	2.66
351	Good	I	SI2	63.3	56	4.26	4.3	2.71
352	Very Good	E	VS2	63.8	55	3.85	3.92	2.48
353	Very Good	H	VS1	61	57	3.94	3.96	2.41
353	Very Good	J	SI1	59.4	62	4.39	4.43	2.62
354	Very Good	G	VVS2	60.4	58	3.97	4.01	2.41
355	Premium	I	VS1	62.5	57	3.97	3.94	2.47
357	Very Good	D	VS2	60.5	61	3.96	3.97	2.4
402	Very Good	F	VS1	60	57	4	4.03	2.41
402	Very Good	F	VS1	59.8	57	4.04	4.06	2.42
402	Very Good	E	VS1	60.7	59	3.97	4.01	2.42
402	Very Good	D	VS1	61.9	58	3.92	3.96	2.44
402	Good	E	VS1	64.1	59	3.83	3.85	2.46
402	Good	H	SI1	64	54	4.29	4.31	2.75
403	Very Good	D	VS2	60.8	59	4.13	4.16	2.52
403	Ideal	I	SI2	61.8	55	4.49	4.51	2.78
403	Ideal	I	SI2	61.2	56	4.49	4.5	2.75
403	Ideal	J	SI1	61.1	56	4.49	4.55	2.76
403	Good	D	VS2	65.2	56	3.99	4.02	2.61
403	Good	D	VS1	58.4	63	4.19	4.24	2.46
403	Premium	F	SI1	62.4	58	4.24	4.26	2.65
403	Very Good	H	SI2	61.8	55	4.35	4.42	2.71
403	Good	H	SI2	63.8	56	4.36	4.38	2.79
404	Very Good	E	VS2	63.3	60	4	4.03	2.54
404	Very Good	H	SI2	60.7	60	4.33	4.37	2.64
404	Very Good	F	SI1	60.9	61	4.02	4.03	2.45
404	Ideal	G	VS1	61.9	54	3.93	3.95	2.44
404	Premium	D	VS2	59.3	62	3.91	3.88	2.31
405	Premium	J	SI2	59.3	61	4.43	4.38	2.61
405	Very Good	I	SI1	62.6	57	4.25	4.28	2.67
405	Good	I	SI1	63.2	55	4.25	4.29	2.7
552	Ideal	D	SI1	62.5	57	4.29	4.32	2.69
552	Ideal	D	SI1	62.1	56	4.3	4.33	2.68
553	Ideal	G	VVS2	61.4	56	4.19	4.22	2.58
553	Ideal	I	VVS1	62	55.3	4.39	4.42	2.73
553	Very Good	G	SI1	63.3	57	4.33	4.3	2.73
553	Premium	G	SI1	61.8	58	4.35	4.32	2.68
553	Premium	E	VVS1	60.7	58	4.01	4.03	2.44
554	Premium	H	SI1	62.9	59	4.28	4.24	2.68
554	Premium	H	SI1	62.5	57	4.29	4.25	2.67
554	Good	H	SI1	63.7	57	4.28	4.26	2.72
554	Very Good	F	VVS2	59.2	60	4.19	4.22	2.49
554	Very Good	E	VVS2	59.9	58	4.15	4.23	2.51
554	Very Good	D	VVS2	62.4	54	4.08	4.13	2.56
554	Very Good	E	VVS1	62.6	59	4.06	4.09	2.55
554	Very Good	E	VVS1	63.4	59	4	4.04	2.55
554	Very Good	D	VVS1	62.1	60	4.03	4.12	2.53
554	Ideal	I	SI2	61.6	56	4.65	4.67	2.87
554	Good	E	VVS1	57.9	60	4.22	4.25	2.45
554	Premium	G	VVS1	62.3	59	3.95	3.92	2.45
554	Premium	H	VVS1	60.8	59	4.02	4	2.44
554	Premium	I	SI1	62.9	58	4.35	4.33	2.73
2757	Ideal	E	SI1	62.5	57	5.7	5.72	3.57
2757	Fair	E	SI2	55.1	69	6.45	6.33	3.52
2757	Ideal	G	VS2	61.6	56	5.7	5.67	3.5
2759	Very Good	E	VS2	62.4	57	5.68	5.73	3.56
2759	Good	E	VS2	57.5	58	5.85	5.9	3.38
2759	Good	F	VS1	59.4	62	5.71	5.76	3.4
2760	Premium	H	SI1	61.5	58	5.97	5.93	3.66
2760	Very Good	D	SI1	63.2	56	5.8	5.75	3.65
2760	Premium	E	SI1	59.9	54	6	5.96	3.58
2760	Ideal	G	SI1	61.6	55	5.8	5.85	3.59
2760	Premium	G	VS2	61.7	58	5.85	5.79	3.59
2760	Ideal	I	VS1	62.9	56	5.94	5.87	3.72
2760	Ideal	G	SI1	62.2	55	5.87	5.8	3.63
2761	Ideal	I	VVS2	62.3	55	5.77	5.81	3.61
